date,open,high,low,close,volume
20121016,319000,328500,316500,325000,32904
20121017,323500,327000,319000,323500,30538
20121018,320500,323500,312000,313000,19419
20121019,316500,316500,308000,308000,18611
20121022,307500,313500,303500,311500,17742
20121023,311000,315000,308000,310500,11095
20121024,307500,310500,300500,304500,33631
20121025,302000,311500,295500,296500,27893
20121026,296000,302500,292500,301500,20725
20121029,300000,306500,298000,298500,16529
20121030,300000,314000,300000,310000,18324
20121031,312500,315500,306000,306000,18682
20121101,301500,314500,300500,311500,10609
20121102,314000,316000,310000,312500,17641
20121105,313000,313000,295000,297500,32146
20121106,298000,311000,298000,310000,32129
20121107,306000,319500,306000,317500,25894
20121108,314500,315500,307000,309000,24371
20121109,305000,312000,300500,305000,15711
20121112,305500,307500,298000,301000,13879
20121113,303000,303000,295000,298500,21761
20121114,297500,300500,292500,295500,23611
20121115,291500,292000,282000,285000,22429
20121116,283000,291500,283000,285000,14366
20121119,285000,289500,279500,281500,24794
20121120,285000,285500,280500,284000,21659
20121121,282500,291500,282500,287000,25022
20121122,290500,290500,280000,280500,35291
20121123,280000,282000,278000,281000,12531
20121126,281000,285000,279500,281500,12417
20121127,283500,285000,281500,283500,23389
20121128,284000,284000,280000,280500,16096
20121129,282000,289000,281500,289000,24649
20121130,286000,289000,285000,286000,16451
20121203,287000,288500,282000,282500,22788
20121204,281000,286500,281000,286000,12634
20121205,284500,285500,282000,284000,16115
20121206,283500,287000,282500,286000,24215
20121207,286500,295000,286000,295000,25669
20121210,291500,297500,291000,293000,19022
20121211,291500,295500,288000,291000,26077
20121212,292500,296000,291000,293000,17047
20121213,291500,295500,291500,292500,33313
20121214,291500,293500,287500,293000,13315
20121217,295000,298500,294000,295500,18611
20121218,296500,300000,296500,299500,20706
20121220,302500,305000,299000,300500,22531
20121221,306500,307000,301500,302500,28461
20121224,304500,305000,302500,304500,12680
20121226,306500,309000,302000,307000,23303
20121227,303500,305500,298000,303000,17136
20121228,303500,304000,297000,297000,16095
20130102,298500,303500,296500,302000,22090
20130103,305000,307500,302500,305000,19249
20130104,305000,307500,303000,306000,13909
20130107,308500,308500,299000,304000,13946
20130108,304000,305500,300000,303000,7530
20130109,302000,305000,301000,302000,7732
20130110,302500,303500,297000,299000,20675
20130111,301500,306000,299500,303500,18366
20130114,305000,307000,303500,305500,16840
20130115,305000,306000,297000,299000,21071
20130116,298000,301500,293000,296000,32427
20130117,295500,295500,290000,292000,18481
20130118,292000,293000,289500,291000,22862
20130121,292000,297000,288000,294000,19999
20130122,292000,295500,289500,290500,22112
20130123,290500,293000,289500,289500,15838
20130124,288500,290500,286000,288000,16589
20130125,288500,288500,281500,283000,21268
20130128,283000,284000,281000,282500,22274
20130129,282000,285500,282000,283500,21247
20130130,284000,291000,284000,288000,22246
20130131,291500,291500,283500,291000,16795
20130201,290000,292000,287000,290000,14273
20130204,293000,293500,289500,290000,12376
20130205,291000,291000,281000,282000,35158
20130206,285500,286000,282500,285000,9461
20130207,282500,284500,280500,281000,12316
20130208,282500,282500,277500,279000,21772
20130212,279500,280500,277500,280000,16525
20130213,282000,283000,280000,283000,19824
20130214,282500,284000,280500,280500,15881
20130215,283000,284000,281000,282500,9424
20130218,280500,284000,280500,280500,10955
20130219,282000,283000,280500,282000,9435
20130220,284000,287500,283000,286000,18717
20130221,285000,285500,281000,285000,21028
20130222,284500,288500,283500,286000,16619
20130225,286000,287500,283000,283500,10957
20130226,280500,284000,280500,281000,13448
20130227,282000,283500,280000,280500,17320
20130228,282500,286500,279000,285000,41013
20130304,283000,284500,281500,283000,16098
20130305,284500,288500,283000,287500,22034
20130306,290500,290500,285000,287000,14754
20130307,288000,288000,283500,286000,14573
20130308,289000,293500,286000,291500,29563
20130311,294000,313000,291500,310000,71713
20130312,310000,318500,307500,312500,59555
20130313,313000,313500,305000,305500,28329
20130314,305000,312500,305000,312500,46587
20130315,312500,316000,302000,306500,34283
20130318,303000,307500,303000,306000,12559
20130319,307500,307500,300500,303000,15763
20130320,303000,304000,295500,299500,26192
20130321,301000,302000,298000,299000,13384
20130322,298000,301500,295500,300000,25444
20130325,301500,307000,296000,299000,27044
20130326,300000,301000,297000,297000,30835
20130327,297500,301500,296000,297000,19498
20130328,299000,303000,294500,296500,21324
20130329,299500,309500,298500,305500,25915
20130401,305000,307500,300000,300500,22745
20130402,299000,302500,290000,291500,53238
20130403,291500,296000,288000,293500,20722
20130404,292500,295500,287500,295500,13497
20130405,293000,293500,284000,285500,18114
20130408,285500,287500,284500,285500,8237
20130409,283500,289500,283000,286000,11445
20130410,290500,290500,284500,286500,13403
20130411,286500,287500,281000,286000,19366
20130412,285500,288000,279000,284000,21038
20130415,283000,295000,281000,293000,31074
20130416,290500,312500,288000,308500,50512
20130417,305500,307500,296500,305500,32153
20130418,300000,304500,297500,297500,9091
20130419,299500,310000,296000,305500,38473
20130422,305500,309000,302000,306500,15381
20130423,304000,308500,296000,306500,19209
20130424,305500,322000,303500,321500,42348
20130425,320500,323500,314500,317000,20763
20130426,314500,326000,313000,325000,24534
20130429,326500,335000,324000,334500,39989
20130430,334500,335500,325000,327000,26703
20130502,323000,328500,315000,321000,17041
20130503,321000,325500,312500,325500,23072
20130506,323000,342500,323000,342000,38643
20130507,336500,349000,330500,341500,30491
20130508,343000,343000,335500,338500,14228
20130509,336500,341000,332000,333000,14309
20130510,333000,337000,318500,319000,26443
20130513,319500,327000,319500,324000,13294
20130514,326500,326500,318000,322000,18245
20130515,320000,321000,310000,317000,25858
20130516,313500,318500,313000,315500,19636
20130520,314500,317000,310000,315000,18405
20130521,314000,322500,314000,321500,16476
20130522,322000,334500,320000,331000,26889
20130523,330000,338000,326000,335000,22435
20130524,335000,335500,324500,327500,17180
20130527,328500,340000,327000,340000,18499
20130528,342000,342500,334500,339000,20496
20130529,339500,344000,335000,342000,20480
20130530,340500,348000,331500,347000,29675
20130531,345000,346000,337000,343500,37154
20130603,336000,343000,329500,333000,21960
20130604,336000,336000,326500,333000,16053
20130605,332000,333000,327000,329000,13296
20130607,342000,342500,326000,326000,19895
20130610,326000,338000,322000,336500,11237
20130611,332000,344500,327000,342000,21477
20130612,342000,343000,335500,342000,7622
20130613,337500,341500,331500,341500,23691
20130614,342000,342500,332000,338000,7403
20130617,338000,339000,328500,328500,7226
20130618,332500,332500,326000,330000,8729
20130619,329500,330000,320000,329000,19462
20130620,328000,328000,312500,319000,18220
20130621,315000,317000,307000,310000,16312
20130624,307000,317000,303000,311500,11549
20130625,313000,313500,302000,304500,12355
20130626,306500,317000,306500,314500,18636
20130627,318000,321000,314500,315500,10582
20130628,312500,335000,312500,328000,21727
20130701,321500,332500,321000,325500,10112
20130702,333000,337000,326000,333500,16093
20130703,330500,339500,328500,339000,13814
20130704,336000,339500,331000,338000,8046
20130705,338500,341000,331500,332500,8376
20130708,331000,336500,328000,333500,6710
20130709,337000,339500,330500,335000,5531
20130710,334500,335000,330500,332000,9588
20130711,332500,337000,329000,333000,18109
20130712,331500,336000,331000,336000,10903
20130715,333000,337500,329000,337500,12514
20130716,333500,337500,325500,328000,15917
20130717,330000,335000,327000,332000,21560
20130718,330000,330000,323500,327500,14994
20130719,325500,335000,325500,330000,15768
20130722,330000,339500,328000,338000,24208
20130723,341000,345000,338500,345000,10903
20130724,345000,349000,340500,347000,11872
20130725,343000,351000,340000,349500,13089
20130726,349500,354000,347500,351000,10915
20130729,353000,356000,348000,354000,12044
20130730,356000,358000,351500,355000,6623
20130731,354500,356000,346000,349000,16496
20130801,346500,353500,343500,347500,10561
20130802,347000,353000,347000,353000,11877
20130805,355000,357500,350000,357500,7421
20130806,357500,365500,353000,362500,21586
20130807,363500,364000,355000,355000,9081
20130808,351000,364000,351000,356500,32266
20130809,359000,374500,353500,369000,91936
20130812,375000,393000,373000,389500,66596
20130813,391000,394500,387500,394500,24444
20130814,394000,396500,389000,392500,19153
20130816,389500,398000,382500,383000,24157
20130819,391000,397500,385000,396500,53780
20130820,392000,411500,392000,406000,57378
20130821,408000,419000,400000,404000,62389
