date,open,high,low,close,volume,korcom,forvol
20150102,24100,24800,24100,24550,131539,27838,5482638
20150105,24300,24650,23850,24200,153271,45738,5457747
20150106,24150,24450,23550,24300,135286,42098,5475063
20150107,24300,24300,23300,23550,173492,31267,5475969
20150108,23500,23800,23050,23350,188256,42652,5515856
20150109,23600,24150,23600,23900,100011,13481,5551711
20150112,23800,24300,23750,23900,47796,5485,5558447
20150113,23900,25700,23800,24550,324314,80261,5612640
20150114,24650,25350,24200,24500,135354,-11199,5621252
20150115,24350,25000,24100,24750,108445,-5566,5647187
20150116,24550,25250,24450,25200,141069,18932,5656151
20150119,25300,25850,25150,25550,167973,52642,5646352
20150120,25600,25900,24700,25100,177001,-8937,5649520
20150121,25450,25450,24650,24950,88563,4059,5649792
20150122,25400,25450,24600,25350,151030,-17420,5685612
20150123,25550,25700,25100,25150,87975,8916,5691376
20150126,25100,25300,24600,25100,67302,29944,5677581
20150127,25300,25450,24900,25200,103792,12661,5682103
20150128,25000,25400,24600,24850,86684,-3240,5691407
20150129,24850,25800,24600,25700,224021,-11115,5712300
20150130,25750,25750,24800,25200,137897,-49392,5715076
20150202,24900,24950,24300,24450,113019,-13481,5734723
20150203,24400,24400,23700,23950,174512,-77642,5808631
20150204,24050,24500,24050,24400,149544,-25860,5865252
20150205,24400,25500,24150,25350,135197,48331,5868722
20150206,25100,25300,24600,25000,62389,13258,5865035
20150209,24800,25450,24550,25250,118427,44084,5855232
20150210,25300,25400,24250,24250,69375,-18550,5854068
20150211,24350,24950,23900,24850,83884,28564,5857332
20150212,24850,25000,24200,24800,79226,15404,5860622
20150213,24950,25450,24600,25400,114083,45929,5859930
20150216,25300,25500,25100,25350,48114,7575,5854892
20150217,25350,25400,24450,25050,109844,-4423,5865637
20150223,24800,25050,24250,24250,115083,-40207,5916090
20150224,24250,24700,24050,24400,110935,-18512,5951699
20150225,24450,24550,23950,24400,98772,3506,5954021
20150226,24350,24700,24150,24600,77333,104,5967357
20150227,24450,24650,23400,23700,160304,-69892,5983811
20150302,23850,23850,23250,23350,130177,-40670,6015732
20150303,23300,24150,23300,24000,81099,12826,6026211
20150304,23850,23900,23500,23700,137903,-23622,6039369
20150305,23550,24350,23500,23750,122250,-12556,6060324
20150306,23650,23750,23050,23100,129280,-72266,6083263
20150309,23100,23200,22450,22500,118224,-51942,6114128
20150310,22400,22900,22200,22900,184678,-36303,6154136
20150311,22650,22750,21900,22650,346238,-66367,6145845
20150312,22650,22650,22050,22300,228547,-51826,6185095
20150313,22250,22650,22050,22450,199058,16321,6133636
20150316,22650,22800,22150,22650,124487,27834,6114417
20150317,22800,23050,22600,22900,117288,16114,6110116
20150318,22800,22900,22400,22500,156691,-4627,6110505
20150319,22600,22750,21850,22150,197056,-95023,6150197
20150320,21950,22050,21000,21000,434199,-160607,6186505
20150323,21050,22000,21050,21750,219563,36607,6235936
20150324,21600,21750,21100,21200,190159,-106193,6294345
20150325,21200,21250,20600,21000,309180,-106303,6355249
20150326,21000,21800,20750,21600,208425,69799,6316914
20150327,21600,21600,18400,21150,1095076,122488,6371749
20150330,21600,21650,20800,20950,154699,-32271,6375930
20150331,21100,21250,20700,21100,254729,-3678,6396664
20150401,20850,21050,20200,20300,273598,-60059,6364054
20150402,20250,21300,20200,21100,246110,120026,6329555
20150403,21100,21300,20600,20850,153873,-30635,6324015
20150406,20800,20900,20200,20400,222221,-89467,6331076
20150407,20300,20700,20250,20650,121346,19722,6322370
20150408,20550,20650,20400,20500,95148,-28347,6316695
20150409,20500,21000,20350,20750,232379,4288,6300125
20150410,20700,20850,20450,20650,232044,-100840,6296582
20150413,20700,20800,20350,20450,231523,-84612,6300296
20150414,20500,20750,20400,20750,272806,-68418,6312468
20150415,20750,20900,20500,20850,167669,5292,6290945
20150416,20850,21100,20600,21000,198603,17122,6275778
20150417,21100,21100,20700,20850,133802,-21544,6261174
20150420,20750,20850,20450,20750,166125,-7243,6253210
20150421,20750,20950,20600,20800,129285,2361,6268590
20150422,20750,21000,20350,20600,191761,-8803,6256997
20150423,20600,21400,20500,21400,251826,28096,6285978
20150424,21300,21850,21050,21450,303674,571,6300492
20150427,21700,21700,21100,21400,193294,-53980,6308051
20150428,21300,21350,20900,21150,186783,-5642,6310017
20150429,21100,21450,20800,21400,135267,60547,6298132
20150430,21450,21550,21100,21250,99884,-18935,6333842
20150504,21250,21250,19600,19800,621853,-31793,6164144
20150506,19650,19900,19350,19750,242237,3382,6201977
20150507,19650,19800,18600,19400,336414,4781,6163501
20150508,19250,19550,19050,19350,151148,-1335,6145877
20150511,19400,19500,19000,19150,161879,-4308,6134380
20150512,19150,19200,18750,18850,217389,-26531,6103936
20150513,18800,19050,18800,18850,115187,-3111,6090084
20150514,18850,19550,18850,19450,247409,-57783,6091044
20150515,19450,19600,19150,19350,145870,31103,6034037
20150518,19300,19350,18950,19100,134470,-37802,6007063
20150519,19000,19200,18900,19150,119961,-17854,5983841
20150520,19150,19500,18900,19150,126366,27009,5967333
20150521,19100,19150,18700,18750,131502,-23483,5947690
20150522,18850,19700,18750,19600,197050,47106,5966258
20150526,19700,19800,19400,19600,105439,36867,5942877
20150527,19450,19500,19000,19150,112154,-13367,5902212
20150528,19050,19450,18750,19250,161436,-3368,5891093
20150529,19100,19650,19050,19650,118124,42041,5867155
20150601,19700,19700,19150,19400,133510,8712,5835264
20150602,19350,19400,18900,18900,115569,22273,5797048
20150603,18900,19050,18350,18400,122378,-9745,5769345
20150604,18350,18400,17800,18050,184949,-31025,5797883
20150605,18000,18400,17750,17900,134349,-14475,5771405
20150608,17900,17900,17300,17600,253079,-92826,5805598
20150609,17500,17650,17250,17450,190067,-32562,5779402
20150610,17550,17800,17100,17500,186037,-29447,5762934
20150611,17500,17900,17400,17400,274017,-46422,5785303
20150612,17750,18300,17500,17800,285227,25230,5768260
20150615,17850,17950,17250,17600,164027,-69789,5765443
20150616,17450,17550,16800,16950,196972,14430,5715533
20150617,16800,17100,16600,16850,277429,-38048,5786367
20150618,16950,17050,16450,16850,255520,-16846,5830521
20150619,16900,17100,16400,16400,390449,13697,5789922
20150622,16600,17200,16500,16850,375999,-118710,5895481
20150623,16850,17200,16750,16950,138457,-9830,5919788
20150624,17000,17300,16950,17300,99308,-12080,5928076
20150625,17300,17450,17050,17300,122987,-21192,5958922
20150626,17300,17300,16850,17150,210336,40766,5909325
20150629,16750,16900,16500,16650,150496,-27464,5914134
20150630,16550,16750,16400,16750,282043,37210,5841546
20150701,16750,17150,16650,16950,167299,-35527,5880770
20150702,17050,17100,16650,16900,299413,-4918,5994219
20150703,16950,17250,16850,17050,169585,-19581,6015690
20150706,17000,17000,16600,16750,170242,-28619,6028639
20150707,16850,16950,16450,16800,148214,-25589,6050281
20150708,17000,17000,16600,16750,123877,13601,6032161
20150709,16650,16650,15600,16250,450294,6286,5910770
20150710,16100,16300,15700,15850,181139,-29265,5886640
20150713,15850,16200,15750,16150,102422,14826,5874214
20150714,16050,16300,15900,15950,148164,49042,5823300
20150715,16100,16250,15950,16200,64750,-1947,5803897
20150716,16200,16300,15850,16150,173390,-28477,5786403
20150717,16100,16200,15650,15900,163108,50965,5763246
20150720,15950,16150,15750,16150,102997,5848,5791603
20150721,16150,16850,16050,16800,204435,48495,5770492
20150722,16950,16950,16400,16600,189246,71407,5693029
20150723,16850,17150,16700,17150,142522,36898,5678837
20150724,17100,17200,16650,16750,120606,12544,5646720
20150727,16650,16800,16350,16550,104226,8715,5627243
20150728,16650,16850,16450,16700,97566,8444,5651527
20150729,16800,17650,16700,17550,496766,-188333,5618943
20150730,17450,18350,17150,18050,432372,40156,5558743
20150731,18250,18350,17000,17500,340090,15556,5502985
20150803,17650,17850,16800,17750,270518,-3348,5530640
20150804,17650,18400,17550,18250,476190,345,5534728
20150805,18250,18400,17700,18200,191187,9597,5505869
20150806,18350,18350,17750,17950,73996,-13565,5548513
20150807,17950,18200,17200,18050,162435,-39308,5561502
20150810,18000,18100,17450,18000,90538,-20445,5552303
20150811,18000,18000,17400,17500,104451,-1438,5553573
20150812,17500,17600,17150,17500,107677,39264,5534932
20150813,17300,17600,17100,17400,154094,-8089,5522574
20150817,17650,17650,17250,17450,46118,16268,5510787
20150818,17300,18000,16950,17900,149912,-11084,5484308
20150819,17700,17850,16800,17100,159188,-10463,5450109
20150820,16650,16900,15800,16100,290447,56929,5445756
20150821,15600,16000,15450,15600,147585,28480,5442376
20150824,15500,15700,15300,15600,70291,38242,5420922
20150825,15500,15800,15000,15500,103547,-1198,5402425
20150826,15500,16250,15250,16150,93754,21919,5395024
20150827,16200,16900,15950,16450,166187,53520,5374526
20150828,16450,17050,16350,16900,111659,35116,5364465
20150831,16700,17500,16600,17200,139075,5879,5385385
20150901,17050,18100,17050,17750,551861,13710,5422039
20150902,17500,18500,17500,18100,624135,81786,5443267
20150903,18150,18300,17900,18050,330280,-153724,5476657
20150904,17900,18200,17500,17950,342244,-87747,5497590
