date,open,high,low,close,volume,korcom,forvol
20180810,15150,15200,15000,15200,18114,-4519,1355646
20180813,15000,15150,14850,15000,43692,-10297,1374745
20180814,14900,15000,14850,14900,49842,-7196,1378532
20180816,14850,14900,14650,14750,78757,-45561,1381292
20180817,14800,14850,14750,14800,31657,-10666,1382568
20180820,14850,14950,14750,14950,29215,-10400,1382574
20180821,14950,15000,14800,14900,57641,-25750,1378797
20180822,14950,14950,14750,14850,95215,-31213,1382727
20180823,14850,14850,14550,14650,101756,-32250,1369544
20180824,14600,14700,14550,14650,21286,-6292,1372052
20180827,14700,14750,14550,14650,49666,-13680,1356939
20180828,14650,14800,14650,14700,55063,-22781,1367661
20180829,14750,14850,14650,14800,127998,-65500,1377503
20180830,14800,14800,14650,14700,75324,-38314,1385598
20180831,14650,14700,14600,14650,27427,-19604,1385086
20180903,14650,14700,14550,14650,41605,-20363,1383125
20180904,14600,14650,14500,14650,75429,-11046,1368010
20180905,14650,14650,14550,14600,37012,-12258,1369170
20180906,14600,14650,14450,14600,64674,10914,1373312
20180907,14650,14650,14500,14550,72284,-1688,1386133
20180910,14550,14650,14550,14600,44550,-631,1389785
20180911,14600,14650,14550,14600,44237,14382,1391051
20180912,14600,14650,14400,14500,80223,-15333,1382014
20180913,14500,14600,14400,14550,38650,-19157,1382054
20180914,14550,14750,14550,14700,44676,10978,1392265
20180917,14700,14750,14600,14700,15414,2007,1394726
20180918,14700,14750,14550,14700,54711,-48072,1395400
20180919,14600,14650,14500,14550,95278,-59376,1392536
20180920,14600,14600,14500,14600,46773,-37518,1399671
20180921,14600,14650,14500,14600,57618,-31713,1402364
20180927,14600,14900,14550,14900,68549,-14687,1408080
20180928,14900,14900,14700,14800,10264,1013,1406827
20181001,14900,14900,14600,14750,21497,2437,1406553
20181002,14750,14950,14650,14750,54506,4353,1402063
20181004,14800,14800,14550,14550,39352,-1063,1399001
20181005,14550,14650,14550,14650,19883,1724,1403539
20181008,14650,14650,14400,14450,55086,-34035,1402626
20181010,14450,14500,14050,14200,73034,-34066,1397539
20181011,14000,14050,13500,13600,86655,-12617,1396958
20181012,13450,13850,13450,13600,76785,-36860,1415181
20181015,13800,13800,13400,13600,53662,-8508,1411918
20181016,13500,13750,13500,13750,16789,-6344,1411228
20181017,13800,14000,13750,14000,18977,-3903,1410811
20181018,13850,14050,13800,13900,23836,2118,1411367
20181019,13950,13950,13550,13750,37127,-8023,1397695
20181022,13800,13800,13550,13600,40158,-8433,1373941
20181023,13700,13700,13150,13250,107670,-41890,1356740
20181024,13350,13400,13150,13250,80123,-4695,1322399
20181025,13050,13150,12950,13100,42599,-2268,1330125
20181026,13100,13200,12750,12900,105953,-15571,1345385
20181029,12950,13100,12600,12750,55088,-1142,1358208
20181030,12550,13150,12550,13100,66053,9371,1370660
20181031,13100,13450,13100,13350,41678,-388,1374155
20181101,13350,13500,13300,13350,38881,-3544,1397433
20181102,13450,13700,13350,13650,68082,7685,1417583
20181105,13700,13750,13450,13600,36275,409,1416684
20181106,13500,13650,13500,13600,10320,-2525,1417527
20181107,13500,14100,13500,13700,54079,1749,1431891
20181108,13800,14050,13750,14050,32322,5103,1442234
20181109,14100,14150,13850,14050,26564,-3628,1445395
20181112,13800,14100,13800,14000,9770,-2402,1449854
20181113,13900,13950,13600,13950,37587,-7637,1435534
20181114,13900,14000,13800,13950,18928,-8625,1443021
20181115,13950,14150,13700,13850,37619,-18167,1453193
20181116,13900,13950,13750,13950,19056,-14586,1455982
20181119,13950,14000,13850,13950,57599,-36851,1452977
20181120,13800,14000,13750,14000,29963,-9302,1454357
20181121,13900,14700,13800,14000,45577,-17535,1448062
20181122,14050,14050,13850,13950,20831,-3754,1448529
20181123,13900,14000,13800,13900,32311,-17087,1446985
20181126,13900,14050,13750,13950,20979,653,1449139
20181127,13950,14100,13900,14100,29423,-14096,1447268
20181128,14050,14100,13900,14100,30859,-9264,1444866
20181129,14100,14350,13950,14100,45182,-11158,1438199
