date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20191212,36950,37500,36850,37400,436590,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191213,37650,38300,37650,38150,379250,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191216,38450,38450,37650,38150,198661,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191217,38150,38400,37900,38350,243872,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191218,38350,38550,38200,38200,196435,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191219,38100,38750,38100,38700,211714,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191220,38800,39250,38700,39200,318550,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191223,39400,39450,39150,39450,218605,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191224,39350,39700,39250,39450,176401,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191226,39450,39600,39200,39600,244242,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191227,38900,39550,38750,39100,337641,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191230,39350,39350,38450,38600,216118,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20200102,38600,38650,37800,37850,187682,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200103,38000,38500,37850,38100,266984,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200106,37700,38000,37150,37500,215108,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200107,37500,37950,37250,37800,288546,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200108,37300,37400,36850,37150,287810,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200109,38200,38200,37150,37600,306136,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
20200110,37500,37850,37400,37850,223093,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200.0,1101.0,-40231.0,-19452.0,75186.0
